anahtar,grup,turkce,ingilizce,nerede
tf674c3d7,arayuz,", boş","","apps/web/src/components/DizilimIzgarasi.tsx:324"
t8ac7e285,arayuz,", çekirdek — ele geçirilemez","","apps/web/src/components/DunyaHaritasi.tsx:950"
t6bc4e570,arayuz,", sana","","apps/web/src/components/IttifakBagis.tsx:126"
t529038a1,arayuz,", şef","","apps/web/src/screens/Akin.tsx:491"
t9627bb6e,arayuz,", tahkimat +%{0}",", fortification +{0}%","apps/web/src/components/DunyaHaritasi.tsx:874"
ta0f4c75c,arayuz,"· BÖLGE ELE GEÇER","· REGION CHANGES HANDS","apps/web/src/components/SaldiriOnizleme.tsx:77"
tc9b206eb,arayuz,"· sahipsiz","· unowned","apps/web/src/screens/Harita.tsx:1026"
t94297445,arayuz,"· sana saldıran","· whoever attacks you","apps/web/src/components/DunyaSeridi.tsx:127"
t5632acb5,arayuz,"· Seviye","· Level","apps/web/src/screens/Hesap.tsx:100"
t4639fbbb,arayuz,"· toprağına saldıran","","apps/web/src/components/DunyaSeridi.tsx:162"
t243874a1,arayuz,"'de dövülür; ürettiğin parçayı buradan kuşanırsın.","is forged at; you equip the crafted piece here.","apps/web/src/screens/LordEkrani.tsx:596"
tea6f95f4,arayuz,"'i bu hafta oynadı","played this week","apps/web/src/components/DunyaSeridi.tsx:77"
t1b6bc363,arayuz,"({0} parça)","({0} pieces)","apps/web/src/screens/Demirhane.tsx:530"
tdd204506,arayuz,"({0} parti)","({0} party)","apps/web/src/screens/Kisla.tsx:296"
ta53c0918,arayuz,"(gizlendi)","(hidden)","apps/web/src/screens/Moderasyon.tsx:166"
t45dabfa5,arayuz,"(kaldırıldı)","(removed)","apps/web/src/screens/Moderasyon.tsx:165"
t758b7c84,arayuz,"(puan eski tarafa verdiğin hizmetin kaydı) ve","","apps/web/src/screens/Medeniyet.tsx:211"
tcacb4d27,arayuz,"[{0}] {1} · {2} üye","[{0}] {1} · {2} members","apps/web/src/components/Paktlar.tsx:181"
t07b8fe99,arayuz,"[{0}] HEDEF","[{0}] TARGET","apps/web/src/screens/Harita.tsx:885"
t87382ec3,arayuz,"{0} — {1} yapı","{0} — {1} building","apps/web/src/screens/Sehir.tsx:398"
t00e6ccb6,arayuz,"{0} — {1}, seviye {2}, {3}, {4} adım{5}","{0} — {1}, level {2}, {3}, {4} steps{5}","apps/web/src/components/DunyaHaritasi.tsx:953"
te4dc80c9,arayuz,"{0} — {1}, seviye {2}, {3}{4}{5}, {6} adım{7}","","apps/web/src/components/DunyaHaritasi.tsx:947"
t89ee47d6,arayuz,"{0} — bu bölge en üst aşamada.","{0} — this region is at its highest stage.","apps/web/src/screens/Harita.tsx:1218"
tc3b64242,arayuz,"{0} — haritada göster","{0} — show on map","apps/web/src/components/DunyaHaritasi.tsx:776 | apps/web/src/components/DunyaHaritasi.tsx:777"
t63d3475f,arayuz,"{0} — mesaj şikâyeti","{0} — message report","apps/web/src/components/IttifakSohbet.tsx:152"
tc84264da,arayuz,"{0} — pakt{1}{2} sonra sona eriyor. O ana kadar iki taraf da saldıramaz.","{0} — the pact ends{1}{2} from now. Until then neither side can attack.","apps/web/src/components/Paktlar.tsx:129"
t37fde2f0,arayuz,"{0} · {1} yürüyüş","{0} · {1} march","apps/web/src/components/HedefSeridi.tsx:58"
t5eef9690,arayuz,"{0} · AÇ","{0} · OPEN","apps/web/src/screens/Malikane.tsx:265"
t56145914,arayuz,"{0} · bina tavanı {1}","{0} · building cap {1}","apps/web/src/screens/Sehir.tsx:522"
t48aeb4d6,arayuz,"{0} · haritada aç","{0} · show on map","apps/web/src/components/HedefSeridi.tsx:96"
tf14a9d22,arayuz,"{0} · Sv {1}","{0} · Lvl {1}","apps/web/src/screens/Malikane.tsx:182"
t6fea5493,arayuz,"{0} · Sv {1} · {2} bölge","{0} · Lvl {1} · {2} regions","apps/web/src/screens/Siralama.tsx:97"
t80e8b78f,arayuz,"{0} · T{1}","{0} · T{1}","apps/web/src/screens/Akin.tsx:229"
t9f6f97fa,arayuz,"{0} {1} daha","{0} {1} more","apps/web/src/components/HedefSeridi.tsx:77"
td0ac02bc,arayuz,"{0} {1} daha.","{0} {1} more.","apps/web/src/components/SeferKart.tsx:101"
t4d76c9d7,arayuz,"{0} {1} eğit","Train {0} {1}","apps/web/src/screens/Kisla.tsx:285"
t53f178e2,arayuz,"{0} adedi","{0} quantity","apps/web/src/screens/Akin.tsx:684 | apps/web/src/screens/Kisla.tsx:270"
t8ed22750,arayuz,"{0} adım","{0} steps","apps/web/src/screens/Harita.tsx:1038"
te723bf3b,arayuz,"{0} adlı lordu şikâyet et","Report lord named {0}","apps/web/src/screens/Siralama.tsx:108"
t8dca1ff7,arayuz,"{0} adlı lordun mesajını şikâyet et","Report message of the lord named {0}","apps/web/src/components/IttifakSohbet.tsx:110"
tc1fd3d51,arayuz,"{0} altın","{0} gold","apps/api/src/services/queue.ts:69 | apps/web/src/screens/Demirhane.tsx:296 | apps/web/src/screens/Demirhane.tsx:642"
t37c580c9,arayuz,"{0} altın · {1}{2}demir · {3} erzak","{0} gold · {1}{2}iron · {3} supplies","apps/web/src/screens/Harita.tsx:1225 | apps/web/src/screens/Harita.tsx:508"
te89bff62,arayuz,"{0} altın eksik.","{0} gold missing.","apps/web/src/screens/Generaller.tsx:131"
t82bfd725,arayuz,"{0} araştırma","{0} research","apps/web/src/screens/Arastirma.tsx:102"
tcc16d07e,arayuz,"{0} asker ölü sanılmıştı, yaralı olarak döndü. Kayıp sayısı bunu çıkardıktan sonrası.","{0} soldiers were presumed dead and came back wounded. The casualty count is what remains after subtracting them.","apps/web/src/components/SavasRaporu.tsx:206"
t2eadcc70,arayuz,"{0} asker yaralı döndü. İyileşene kadar savaşa giremez, erzak yemez ve komuta yerini kaplamaz.","{0} soldiers came back wounded. They cannot fight until they heal, they eat no supplies and take up no command space.","apps/web/src/components/Hastane.tsx:41"
t5ed13e1b,arayuz,"{0} başvuru hakkın dolu","Your {0} application slots are full","apps/web/src/screens/Ittifak.tsx:489"
tb3195ad6,arayuz,"{0} birim","{0} units","apps/web/src/screens/Harita.tsx:348"
td3ec6d82,arayuz,"{0} birliklerin {1} karşısında {2} vurdu.","Your {0} troops hit {2} against {1}.","apps/web/src/components/SavasRaporu.tsx:401"
t0460d827,arayuz,"{0} birliklerin {1} karşısında {2} yedi.","Your {0} troops took {2} against {1}.","apps/web/src/components/SavasRaporu.tsx:402"
t12853735,arayuz,"{0} bölge","{0} regions","apps/web/src/components/DiyarTanitimi.tsx:86 | apps/web/src/screens/Medeniyet.tsx:135 | apps/web/src/screens/Medeniyet.tsx:190 | packages/shared/src/ogretici.ts:209"
t197e9a5d,arayuz,"{0} bölgesine karşı saldır","Counterattack region {0}","apps/web/src/components/SavasRaporu.tsx:579"
ta244e3f2,arayuz,"{0} çekirdeği. Kaybeden medeniyet ölmesin diye çekirdekler dokunulmaz; yalnız kendi üyeleri geliştirebilir.","","apps/web/src/screens/Harita.tsx:753"
t46dd1320,arayuz,"{0} demir","{0} iron","apps/web/src/screens/Demirhane.tsx:300 | apps/web/src/screens/Demirhane.tsx:648"
tac7169d2,arayuz,"{0} dk","{0} min","apps/web/src/components/Omurga.tsx:609"
t518c818a,arayuz,"{0} dk önce","{0} mins ago","apps/web/src/components/DunyaSeridi.tsx:28"
t47ae593b,arayuz,"{0} dk sonra biter","Finishes in {0} min","apps/web/src/components/MobilKabuk.tsx:137"
td8423f34,arayuz,"{0} eğitim","{0} training","apps/web/src/components/SaldiriOnizleme.tsx:177"
t69140c6e,arayuz,"{0} elinde — bir kareye sürükle ya da dokun. Dolu kareye elin boşken dokunursan boşalır.","{0} in hand — drag to a square or tap. Tapping a filled square while empty-handed clears it.","apps/web/src/components/DizilimIzgarasi.tsx:289"
t3c2e09ca,arayuz,"{0} fayda","","apps/web/src/screens/Medeniyet.tsx:140"
t75a1fe6c,arayuz,"{0} fayda ›","","apps/web/src/screens/Harita.tsx:873"
tf3ba9e7d,arayuz,"{0} fayda puanı","","apps/web/src/screens/Medeniyet.tsx:156"
t329856e2,arayuz,"{0} galibiyet · {1} yenilgi","{0} victories · {1} defeats","apps/web/src/screens/LordEkrani.tsx:566"
td06a4e7f,arayuz,"{0} generalleri","{0}'s generals","apps/web/src/components/SavasRaporu.tsx:235"
t6f068ff0,arayuz,"{0} gidiş ·{1}{2} dönüş","{0} outbound ·{1}{2} return","apps/web/src/components/SaldiriOnizleme.tsx:182"
tebc946e2,arayuz,"{0} gün","{0} days","apps/web/src/components/DunyaSeridi.tsx:50 | apps/web/src/components/GunlukKart.tsx:88 | packages/shared/src/moderasyon.ts:139 | packages/shared/src/moderasyon.ts:183"
ta7e8eb41,arayuz,"{0} gün kaldı","{0} days left","apps/web/src/components/SeferKart.tsx:38"
t9244b49a,arayuz,"{0} gün önce","{0} days ago","apps/web/src/components/DunyaSeridi.tsx:31"
t0d71a05d,arayuz,"{0} gün sonra yeniden taraf değiştirebilirsin.","","apps/web/src/screens/Medeniyet.tsx:219"
t39ffe83d,arayuz,"{0} için ordun henüz yetmiyor.","Your army is not enough for {0} yet.","apps/web/src/components/Omurga.tsx:773"
tf8c9cd73,arayuz,"{0} inşa ediliyor","{0} under construction","apps/web/src/screens/Sehir.tsx:486"
t4438dd01,arayuz,"{0} ittifak","{0} alliances","apps/web/src/screens/Siralama.tsx:215"
td16ad5e7,arayuz,"{0} ittifakını incele","Inspect alliance {0}","apps/web/src/screens/Ittifak.tsx:422"
t163d871e,arayuz,"{0} kapasiten dolsa bile alınmıyor. Liderlik statını yükseltmen gerek.","It cannot be recruited even if your {0} capacity is full. You need to upgrade your Leadership stat.","apps/web/src/components/Omurga.tsx:756"
tbcf13cf2,arayuz,"{0} kare","{0} squares","apps/web/src/components/DizilimIzgarasi.tsx:276"
te332f54f,arayuz,"{0} kuyruğu dolu","{0} queue is full","apps/web/src/screens/Demirhane.tsx:54"
ta2238310,arayuz,"{0} lord","{0} lords","apps/web/src/components/DiyarTanitimi.tsx:85 | apps/web/src/screens/Medeniyet.tsx:136 | apps/web/src/screens/Siralama.tsx:212"
t7b299eff,arayuz,"{0} lord son {1} günde oynadı","{0} lords played in the last {1} days","apps/web/src/screens/Giris.tsx:60"
t2088a96f,arayuz,"{0} oluyor","Becoming {0}","apps/web/src/screens/Harita.tsx:1210"
t5ae157ef,arayuz,"{0} önde · +%{1} yağma","","apps/web/src/screens/Harita.tsx:1095"
t50fdf262,arayuz,"{0} panelini kapat","Close {0} panel","apps/web/src/components/KapiPaneli.tsx:50"
t120b571b,arayuz,"{0} puan","","apps/web/src/screens/Medeniyet.tsx:163"
t0d27f6db,arayuz,"{0} PUAN","{0} POINTS","apps/web/src/screens/LordEkrani.tsx:446"
t75469fdf,arayuz,"{0} puanı dağıt","Distribute {0} points","apps/web/src/screens/LordEkrani.tsx:512"
t2a3b407a,arayuz,"{0} sa sonra biter","Finishes in {0} hr","apps/web/src/components/MobilKabuk.tsx:138"
t423b2a6e,arayuz,"{0} saat","{0} hours","apps/web/src/components/Omurga.tsx:609 | apps/web/src/components/Paktlar.tsx:158"
tf1a6d8b4,arayuz,"{0} saat {1} dakika","{0} hours {1} minutes","apps/web/src/screens/LordEkrani.tsx:89"
t6717d6d6,arayuz,"{0} saat önce","{0} hours ago","apps/web/src/components/DunyaSeridi.tsx:30"
t9fbcad0c,arayuz,"{0} saldır","Attack {0}","apps/web/src/components/Omurga.tsx:657 | apps/web/src/components/Omurga.tsx:682 | apps/web/src/components/Omurga.tsx:794 | apps/web/src/components/Omurga.tsx:813"
t330adaea,arayuz,"{0} saldırı · {1} savunma","{0} attack · {1} defense","apps/web/src/components/DizilimIzgarasi.tsx:381"
t8a46fd94,arayuz,"{0} saldırında kaybın değişmiyor ({1} birim). Tek bir parça savaşı çevirmiyor; etkisini görmek için daha üst tier ekipman ya da daha büyük bir ordu gerekiyor.","Your loss in your attack does not change ({1} units) for {0}. A single piece does not turn a battle; to see its effect you need higher tier equipment or a bigger army.","apps/web/src/screens/Demirhane.tsx:150"
tec4e9b47,arayuz,"{0} savaş","{0} battles","apps/web/src/screens/LordEkrani.tsx:100"
t4aa99003,arayuz,"{0} savaşçı","{0} warriors","apps/web/src/screens/Akin.tsx:492"
t76f8b84f,arayuz,"{0} savunan","{0} defending","apps/web/src/components/HedefSeridi.tsx:86 | apps/web/src/components/Omurga.tsx:762"
tef6298d9,arayuz,"{0} savunmasında kaybın","your loss in {0} defense","apps/web/src/screens/Demirhane.tsx:137"
t62296129,arayuz,"{0} seninle aynı medeniyetten ({1}). Kendi medeniyetinin lorduna saldıramazsın.","","apps/web/src/screens/Harita.tsx:764"
t32c1e431,arayuz,"{0} sıra {1}","{0} rank {1}","apps/web/src/components/SaldiriOnizleme.tsx:148 | apps/web/src/components/SavasRaporu.tsx:85"
t245f1bcb,arayuz,"{0} Sıralaması","{0} Ranking","apps/web/src/screens/Siralama.tsx:207"
t1180d7c2,arayuz,"{0} sonra {1} diyarına taşınıyorsun. Lordun, ordun, araştırman ve binaların geliyor; bölgelerin ancak orada boşsa geliyor, gelmeyenin bir günlük geliri kasana yazılıyor.","In {0} you move to the realm of {1}. Your lord, army, research and buildings come with you; your regions only come along if they are free there, and for any that do not you are credited a day of their income.","apps/web/src/components/DunyaSeridi.tsx:62"
t32e77860,arayuz,"{0} sonra {1} diyarının lordları buraya geliyor. Taht sahipsiz kalacak — ilk alan Diyarın Lordu olur.","In {0} the lords of {1} arrive here. The throne will be left unowned — whoever takes it first becomes Lord of the Realm.","apps/web/src/components/DunyaSeridi.tsx:63"
t705bb4d6,arayuz,"{0} sonra katılabilirsin","You can join in {0}","apps/web/src/screens/Ittifak.tsx:486"
t2b400840,arayuz,"{0} şikâyet","{0} reports","apps/web/src/screens/Moderasyon.tsx:91 | apps/web/src/screens/Siralama.tsx:289"
tcccb2184,arayuz,"{0} şikâyet karar bekliyor.","{0} reports are waiting for a decision.","apps/web/src/screens/Hesap.tsx:130"
t38001c91,arayuz,"{0} şöhret","{0} fame","apps/web/src/components/IttifakIncele.tsx:71 | apps/web/src/components/Omurga.tsx:932 | apps/web/src/screens/LordEkrani.tsx:388"
tb1cd334c,arayuz,"{0} T{1}","{0} T{1}","apps/web/src/screens/Demirhane.tsx:221 | apps/web/src/screens/LordEkrani.tsx:626"
te476c505,arayuz,"{0} tarafına geçiyorsun. {1} fayda puanın silinecek ve {2} gün boyunca geri dönemeyeceksin.","","apps/web/src/screens/Medeniyet.tsx:253"
t56851a6b,arayuz,"{0} tarafına geçtin. {1} bölgen seninle geldi.","","apps/web/src/screens/Medeniyet.tsx:71"
t96cbf421,arayuz,"{0} üye · {1} bölge","{0} members · {1} regions","apps/web/src/screens/Siralama.tsx:143"
t91ecc24f,arayuz,"{0} üzerine yürü","March on {0}","apps/web/src/components/Omurga.tsx:802"
tc9199a6f,arayuz,"{0} yap","Make {0}","apps/web/src/screens/Harita.tsx:1205"
t2a854ffc,arayuz,"{0} yaralı hastaneye girdi.","{0} wounded went into the hospital.","apps/web/src/screens/Akin.tsx:247"
t99f9e3ea,arayuz,"{0} zaten ittifakın ortak hedefi. Haritada kesik çizgiyle işaretli.","{0} is already the alliance's common target. Marked with a dashed line on the map.","apps/web/src/screens/Harita.tsx:438"
tc0aafdeb,arayuz,"{0}: {1} ({2}{3}/sa){4}","{0}: {1} ({2}{3}/hr){4}","apps/web/src/components/MobilKabuk.tsx:149"
t41f86786,arayuz,"{0}. satır, {1}. kare{2}","row {0}, square {1}{2}","apps/web/src/components/DizilimIzgarasi.tsx:324"
tf2f8ddbc,arayuz,"{0}. seviye","level {0}","apps/web/src/screens/Sehir.tsx:476"
tace5639c,arayuz,"{0}. Seviye","Level {0}","apps/web/src/components/IttifakBagis.tsx:89"
t46b61099,arayuz,"{0}. sıradasın","you rank #{0}","apps/web/src/components/DiyarTanitimi.tsx:102 | apps/web/src/screens/LordEkrani.tsx:399"
tf952a101,arayuz,"{0}'a git","Go to {0}","apps/web/src/screens/Sehir.tsx:974"
t0900053c,arayuz,"{0}{1} erzak/sa","{0}{1} supplies/hr","apps/web/src/screens/Kisla.tsx:453"
t59b5ca1c,arayuz,"{0}{1} güç","{0}{1} power","apps/web/src/screens/Demirhane.tsx:82"
taa525da9,arayuz,"{0}{1}/sa","{0}{1}/hr","apps/web/src/screens/Malikane.tsx:130"
te44e09f0,arayuz,"{0}/{1} adım","{0}/{1} steps","apps/web/src/components/Rehber.tsx:100"
t1ae0b497,arayuz,"{0}/{1} bağış hakkı","{0}/{1} donations left","apps/web/src/components/IttifakBagis.tsx:82"
te8e87b2f,arayuz,"{0}/{1} bölge{2}","{0}/{1} regions{2}","apps/web/src/screens/LordEkrani.tsx:351 | apps/web/src/screens/Malikane.tsx:122"
tebc82d20,arayuz,"{0}/{1} komuta","{0}/{1} command","apps/web/src/components/OrduSahnesi.tsx:258 | apps/web/src/screens/Kisla.tsx:449"
t0faee630,arayuz,"{0}/{1} lord","{0}/{1} lords","apps/web/src/screens/Giris.tsx:56"
t3ce47fa7,arayuz,"{0}/{1} saldırı","{0}/{1} attacks","apps/web/src/screens/LordEkrani.tsx:359"
tca03ab23,arayuz,"{0}/{1} üye","{0}/{1} members","apps/web/src/components/IttifakIncele.tsx:70 | apps/web/src/screens/Ittifak.tsx:237"
t503c6bf9,arayuz,"{0}/10 grup hazır","{0}/10 groups ready","apps/web/src/screens/Akin.tsx:326"
t58779ae6,arayuz,"{0}/sa","{0}/hr","apps/web/src/components/Omurga.tsx:615"
t01f3bcfa,arayuz,"{0}dk {1}sn","{0}m {1}s","apps/web/src/components/ui.tsx:836"
t474d6d19,arayuz,"{0}g {1}sa","{0}d {1}h","apps/web/src/components/ui.tsx:834"
t756e7987,arayuz,"{0}sa {1}dk","{0}h {1}m","apps/web/src/components/ui.tsx:835 | apps/web/src/screens/Arastirma.tsx:44 | apps/web/src/screens/Harita.tsx:274"
tea71ab87,arayuz,"&nbsp;","","apps/web/src/components/GorevOzeti.tsx:41 | apps/web/src/components/GorevOzeti.tsx:43 | apps/web/src/components/Omurga.tsx:498"
teea047c7,arayuz,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","","apps/web/src/components/DiyarTanitimi.tsx:137"
t22595525,arayuz,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","","apps/web/src/components/DiyarTanitimi.tsx:136 | apps/web/src/components/Omurga.tsx:495"
tec707e45,arayuz,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","","apps/web/src/components/Omurga.tsx:494"
t0762338d,arayuz,"%{0} ihtimalle T{1} ekipman düşer.","{0}% chance to drop T{1} equipment.","apps/web/src/screens/Akin.tsx:644"
t1827a8a3,arayuz,"← {0}: {1}a · {2}d ·{3}{4}e","← {0}: {1}g · {2}i ·{3}{4}s","apps/web/src/components/KaynakGonder.tsx:115"
tcdcc1386,arayuz,"← Listeye dön","← Return to list","apps/web/src/components/IttifakIncele.tsx:62"
t2aa9c9b9,arayuz,"→ {0}: {1}a · {2}d ·{3}{4}e","→ {0}: {1}g · {2}i ·{3}{4}s","apps/web/src/components/KaynakGonder.tsx:107"
tb34af894,arayuz,"↑ düşman bu yönde","↑ enemy in this direction","apps/web/src/components/DizilimSemasi.tsx:34"
t5758e43d,arayuz,"↓ şimdi buna bas ↓","↓ now press this ↓","apps/web/src/components/RehberIsigi.tsx:680"
tc1118513,arayuz,"+{0} ittifak XP · sana +{1} lord XP","+{0} alliance XP · +{1} lord XP for you","apps/web/src/components/IttifakBagis.tsx:47"
tea9f1079,arayuz,"+{0} lord XP","+{0} lord XP","apps/web/src/components/IttifakBagis.tsx:126"
t420d1dbc,arayuz,"+{0} XP","+{0} XP","apps/web/src/components/IttifakBagis.tsx:125 | apps/web/src/components/SaldiriOnizleme.tsx:118 | apps/web/src/components/SaldiriOnizleme.tsx:160"
t937e2c3d,arayuz,"+{0}/sa","+{0}/hr","apps/web/src/components/HedefSeridi.tsx:29 | apps/web/src/components/HedefSeridi.tsx:32 | apps/web/src/components/Omurga.tsx:958 | apps/web/src/screens/Malikane.tsx:126 | apps/web/src/screens/Malikane.tsx:189 | apps/web/src/screens/Malikane.tsx:195 | apps/web/src/screens/Malikane.tsx:201"
t0ec7b9a9,arayuz,"+%{0} şöhret","+{0}% fame","apps/web/src/components/DiyarTanitimi.tsx:95"
tee349f95,arayuz,"⚑ kanat — süvariye yarar, okçu ve mancınığa zarar.","⚑ wing — benefits cavalry, harms archers and catapults.","apps/web/src/components/DizilimIzgarasi.tsx:370"
tc997d9ef,arayuz,"⛨ korumalı","⛨ protected","apps/web/src/screens/Harita.tsx:924"
tca25ca91,arayuz,"aç","open","apps/web/src/components/Basarimlar.tsx:77"
ta9d45351,arayuz,"AÇ","OPEN","apps/web/src/components/GorevOzeti.tsx:72"
tc2c0713b,arayuz,"Açılıyor…","Turning on…","apps/web/src/components/BildirimKarti.tsx:93 | apps/web/src/screens/Hesap.tsx:179"
tb440b86f,arayuz,"Adın, yaşın, konumun, telefonun, cihaz kimliğin sorulmuyor ve tutulmuyor. Lord adını sen seçiyorsun ve gerçek adın olmak zorunda değil.","Your name, age, location, phone and device identifier are never asked for or stored. You choose your lord name, and it does not have to be your real name.","apps/web/src/screens/Gizlilik.tsx:79"
t230c7ce3,arayuz,"Adres kayıtlıysa sıfırlama bağlantısı gönderildi. Gelen kutunu kontrol et.","If the address is registered, a reset link has been sent. Check your inbox.","apps/web/src/screens/Giris.tsx:89"
t6b527296,arayuz,"Akın","Raid","apps/api/src/routes/akin.ts:370 | apps/web/src/components/MobilKabuk.tsx:63 | apps/web/src/screens/Akin.tsx:108"
t8420b631,arayuz,"Akına çık · {0} asker","Go on a raid · {0} troops","apps/web/src/screens/Akin.tsx:655"
t82148189,arayuz,"Akına çıkılamadı.","Raid could not be started.","apps/web/src/screens/Akin.tsx:94"
tba802375,arayuz,"Akına git","Go on a raid","apps/web/src/components/Omurga.tsx:739"
t1386e6f0,arayuz,"Akının sürüyor","Your raid is ongoing","apps/web/src/components/Omurga.tsx:696"
t8c46e58c,arayuz,"ALACAĞIN","YOU WILL RECEIVE","apps/web/src/components/Pazar.tsx:141"
t39e8631a,arayuz,"Alınıyor…","Claiming…","apps/web/src/components/GunlukKart.tsx:150 | apps/web/src/components/SeferKart.tsx:92"
t31ca39fb,arayuz,"altın","gold","apps/web/src/components/SaldiriOnizleme.tsx:20 | apps/web/src/components/SavasRaporu.tsx:115 | apps/web/src/components/ui.tsx:132 | apps/web/src/screens/Harita.tsx:62 | packages/shared/src/bina.ts:251 | packages/shared/src/pazar.ts:38"
td290d99b,arayuz,"Altın","Gold","apps/web/src/components/KaynakGonder.tsx:89 | apps/web/src/components/MobilKabuk.tsx:269 | apps/web/src/screens/Generaller.tsx:25 | apps/web/src/screens/Medeniyet.tsx:327 | data/arma.json:renkler[5].ad"
t88e69408,arayuz,"Altın bağışı","","apps/web/src/screens/Medeniyet.tsx:326"
t636ac62e,arayuz,"Altının yetmiyor","Not enough gold","apps/web/src/screens/Generaller.tsx:130 | apps/web/src/screens/Ittifak.tsx:352"
t0324e9ae,arayuz,"Ana Ekrana Ekle","Add to Home Screen","apps/web/src/components/BildirimKarti.tsx:74"
t4f700cd1,arayuz,"ANLADIM","GOT IT","apps/web/src/components/DiyarTanitimi.tsx:128 | apps/web/src/components/DiyarTanitimi.tsx:77"
t3e143637,arayuz,"Araştırma","Research","apps/web/src/screens/Arastirma.tsx:92 | packages/shared/src/types.ts:317"
t0f317dd7,arayuz,"Araştırma başlatılamadı.","Research could not be started.","apps/web/src/screens/Arastirma.tsx:62"
t6631f86c,arayuz,"Araştırma kalıcıdır ve diyarını senin seçimlerinle şekillendirir — iki lord aynı seviyede aynı olmaz.","Research is permanent and shapes your realm with your choices — two lords at the same level won't be identical.","apps/web/src/components/Omurga.tsx:916"
td71e7d01,arayuz,"Araştırma kuyruğu dolu","Research queue is full","apps/web/src/screens/Arastirma.tsx:212"
t827936f1,arayuz,"Araştırmaya git","Go to research","apps/web/src/components/Omurga.tsx:856 | apps/web/src/components/Omurga.tsx:917"
t97bf12c7,arayuz,"Arkadaşınla oynayacaksan onunla aynı diyarı seç. Diyarlar birbirinden bağımsız.","If you are playing with a friend, pick the same realm. Realms are independent of one another.","apps/web/src/screens/Giris.tsx:68"
t88a93d36,arayuz,"Arman","Your crest","apps/web/src/components/ArmaSecici.tsx:55"
tf0f416cc,arayuz,"Armanı değiştir","Change your crest","apps/web/src/components/ArmaSecici.tsx:57"
tce83d9f3,arayuz,"Armanı sıralamada, ittifak listende ve savaş raporlarında herkes görür.","Everyone sees your crest in the ranking, alliance list, and battle reports.","apps/web/src/components/ArmaSecici.tsx:56"
t70bc2ae9,arayuz,"Armayı değiştir","Change the crest","apps/web/src/screens/Ittifak.tsx:375"
t5e9bbde6,arayuz,"Armayı kaydet","Save the crest","apps/web/src/components/ArmaSecici.tsx:189"
